State,Enacted Date,Technology Categories
WI,2010-05-20 00:00:00 UTC,bd|e85
MA,2010-06-30 00:00:00 UTC,bd
OH,2009-04-01 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
NM,2007-04-03 00:00:00 UTC,bd
NM,2015-07-01 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
GA,2010-05-24 00:00:00 UTC,IR
WV,2011-04-05 00:00:00 UTC,bd|e85|elec|hy|cng|OTHER|elec|lpg
US,2011-04-08 00:00:00 UTC,e85
SD,2012-03-31 00:00:00 UTC,e85
SD,2011-03-09 00:00:00 UTC,bd|e85
VA,2011-03-23 00:00:00 UTC,elec
MI,2010-05-01 00:00:00 UTC,elec
CA,2010-05-01 00:00:00 UTC,elec
ID,2013-01-01 00:00:00 UTC,elec|elec
IA,2011-05-31 00:00:00 UTC,e85
IA,2011-05-31 00:00:00 UTC,bd
TX,2011-05-31 00:00:00 UTC,elec
MT,2011-04-18 00:00:00 UTC,NEVS
MD,2011-05-19 00:00:00 UTC,elec|hy|elec
NC,2011-05-26 00:00:00 UTC,elec
NC,2011-05-26 00:00:00 UTC,elec|hy|elec
NC,2011-05-26 00:00:00 UTC,elec
CA,2011-07-01 00:00:00 UTC,bd|e85|RD
MN,2011-05-27 00:00:00 UTC,e85
MN,2004-08-05 00:00:00 UTC,bd|e85|elec|EFFEC|elec|hy|IR|cng|elec|lpg
NV,2011-07-01 00:00:00 UTC,elec
NE,2011-05-24 00:00:00 UTC,NEVS
NE,2011-05-24 00:00:00 UTC,elec
TX,2011-06-17 00:00:00 UTC,|cng
TX,2011-06-17 00:00:00 UTC,IR
OR,2011-06-16 00:00:00 UTC,IR
NH,2011-04-25 00:00:00 UTC,IR
CA,2011-10-06 00:00:00 UTC,elec|hy|cng|elec
CA,2011-07-25 00:00:00 UTC,elec
CA,2011-09-27 00:00:00 UTC,elec
NJ,2010-12-08 00:00:00 UTC,bd|e85
IL,2011-07-27 00:00:00 UTC,IR
IL,2011-10-31 00:00:00 UTC,elec
IL,2011-10-31 00:00:00 UTC,elec
UT,2012-03-26 00:00:00 UTC,EFFEC|IR
VA,2005-09-01 00:00:00 UTC,elec|hy|cng|elec|lpg
VA,2012-03-08 00:00:00 UTC,elec
WA,2012-03-23 00:00:00 UTC,elec|elec
WA,2012-03-23 00:00:00 UTC,elec
MD,2012-05-02 00:00:00 UTC,elec
CO,2012-05-03 00:00:00 UTC,elec|cng|elec|lpg
MD,2012-05-22 00:00:00 UTC,elec
OR,2012-01-19 00:00:00 UTC,elec
FL,2012-04-14 00:00:00 UTC,elec|cng|elec|lpg
FL,2012-04-14 00:00:00 UTC,elec
FL,2012-04-14 00:00:00 UTC,elec
CA,2012-03-23 00:00:00 UTC,elec|hy|elec
GA,2012-05-03 00:00:00 UTC,bd|e85|elec|elec
US,2008-06-18 00:00:00 UTC,bd|e85|cng
VT,2012-05-16 00:00:00 UTC,cng
US,2008-10-03 00:00:00 UTC,IR
TN,2012-07-01 00:00:00 UTC,cng
NE,2012-04-10 00:00:00 UTC,cng
LA,2012-05-31 00:00:00 UTC,lpg
CA,2012-09-27 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
US,2012-02-14 00:00:00 UTC,elec|hy|elec
RI,2012-06-19 00:00:00 UTC,elec|OTHER|elec
NC,2012-07-16 00:00:00 UTC,elec
CA,2012-09-27 00:00:00 UTC,cng
DC,2012-11-01 00:00:00 UTC,EFFEC
NY,2012-11-01 00:00:00 UTC,elec|hy
US,2005-08-08 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
IL,2012-08-28 00:00:00 UTC,elec|cng|elec
MA,2012-08-09 00:00:00 UTC,bd|e85|elec|hy|cng|NEVS|elec|lpg
DE,2005-01-01 00:00:00 UTC,EFFEC
WA,2011-07-22 00:00:00 UTC,elec
US,2008-10-03 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
WA,2013-04-23 00:00:00 UTC,elec
WY,2013-02-22 00:00:00 UTC,cng
WY,2013-03-13 00:00:00 UTC,cng
KY,2013-04-04 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
KY,2013-04-04 00:00:00 UTC,|cng
FL,2013-05-02 00:00:00 UTC,cng|lpg
FL,2013-05-02 00:00:00 UTC,cng|lpg
MS,2013-04-23 00:00:00 UTC,|cng|lpg
TX,2013-06-01 00:00:00 UTC,cng
TX,2013-06-01 00:00:00 UTC,cng
FL,2013-06-07 00:00:00 UTC,bd
CO,2013-05-03 00:00:00 UTC,elec
CO,2013-05-15 00:00:00 UTC,cng|lpg
IN,2013-05-11 00:00:00 UTC,cng
IN,2013-05-11 00:00:00 UTC,IR|cng
IN,2013-05-11 00:00:00 UTC,bd|cng|OTHER|lpg
IN,2013-05-11 00:00:00 UTC,bd|cng
IN,2013-05-11 00:00:00 UTC,|bd|e85|EFFEC|hy|IR|cng|OTHER|lpg
VT,2013-05-30 00:00:00 UTC,IR
TN,2013-06-30 00:00:00 UTC,cng
MN,2013-03-18 00:00:00 UTC,e85
IL,2013-06-01 00:00:00 UTC,elec
ME,2013-06-03 00:00:00 UTC,e85
OK,2013-04-22 00:00:00 UTC,cng
NV,2013-06-01 00:00:00 UTC,bd|RD
NJ,2006-07-08 00:00:00 UTC,EFFEC
OR,2013-06-26 00:00:00 UTC,elec
OR,2013-06-18 00:00:00 UTC,elec
CA,2013-09-28 00:00:00 UTC,elec
CA,2013-09-28 00:00:00 UTC,elec
CT,2013-10-24 00:00:00 UTC,elec|hy|elec
MD,2013-10-24 00:00:00 UTC,elec|hy|elec
MA,2013-10-24 00:00:00 UTC,elec|hy|elec
NY,2013-10-24 00:00:00 UTC,elec|hy|elec
OR,2013-10-24 00:00:00 UTC,elec|hy|elec
RI,2013-10-24 00:00:00 UTC,elec|hy|elec
VT,2013-10-24 00:00:00 UTC,elec|hy|elec
NH,2013-06-26 00:00:00 UTC,|bd|e85|elec|EFFEC|hy|IR|cng|NEVS|elec|lpg
CA,2013-09-28 00:00:00 UTC,OTHER
CA,2013-09-27 00:00:00 UTC,hy
NY,2013-03-28 00:00:00 UTC,elec|hy|cng|elec
OH,2013-07-01 00:00:00 UTC,cng
OH,2013-06-30 00:00:00 UTC,cng
PA,2011-12-03 00:00:00 UTC,
MD,2007-04-24 00:00:00 UTC,
NC,2013-07-26 00:00:00 UTC,elec
NM,2014-03-05 00:00:00 UTC,bd
MA,2014-03-01 00:00:00 UTC,elec|hy|elec
UT,2014-03-29 00:00:00 UTC,bd|elec|hy|cng|elec|lpg
UT,2014-03-20 00:00:00 UTC,elec
WA,2014-04-04 00:00:00 UTC,cng
MD,2014-05-05 00:00:00 UTC,elec
IA,2014-03-26 00:00:00 UTC,e85|elec|hy|cng|elec|lpg
ME,2013-05-03 00:00:00 UTC,bd
MN,2014-05-16 00:00:00 UTC,elec
CA,2013-10-24 00:00:00 UTC,elec|hy|elec
CO,2013-05-15 00:00:00 UTC,elec
RI,2014-07-02 00:00:00 UTC,elec|elec
CO,2013-06-05 00:00:00 UTC,bd|e85|elec|cng|elec|lpg
CO,2013-04-30 00:00:00 UTC,IR
DC,2014-06-24 00:00:00 UTC,|bd|e85|elec|hy|cng|elec|lpg
CT,2014-06-11 00:00:00 UTC,cng|lpg
MO,2014-07-07 00:00:00 UTC,cng
MN,2014-05-16 00:00:00 UTC,elec|cng|elec
IL,2014-08-22 00:00:00 UTC,cng|lpg
SC,1992-07-01 00:00:00 UTC,|bd|e85|elec|hy|cng|elec|lpg
SC,1992-07-01 00:00:00 UTC,|bd|e85|elec|hy|cng|elec|lpg
SC,2014-06-16 00:00:00 UTC,elec
RI,2014-07-02 00:00:00 UTC,|bd|e85|elec|EFFEC|elec|hy|IR|cng|NEVS|OTHER|elec|lpg
NH,2014-07-28 00:00:00 UTC,cng|lpg
NH,2014-07-28 00:00:00 UTC,cng|lpg
NV,2014-09-11 00:00:00 UTC,elec
CA,2014-09-21 00:00:00 UTC,AUTONOMOUS|elec|hy|elec
CA,2014-09-21 00:00:00 UTC,elec|hy|OTHER|elec
CA,2014-09-21 00:00:00 UTC,elec
NC,2014-06-04 00:00:00 UTC,cng
PA,2014-10-22 00:00:00 UTC,elec
US,2012-07-06 00:00:00 UTC,|bd|e85|elec|hy|cng|NEVS|elec|lpg
CA,2014-08-19 00:00:00 UTC,elec
CA,2014-09-26 00:00:00 UTC,elec
CT,2013-01-01 00:00:00 UTC,elec
